,Date,Protein,Vegetables,Carbs,Fruits,Drinks
0,2023-01-01,18.745401188473625,17.31993941811405,3.0921304830970557,7.993292420985183,12.704285838459498
1,2023-01-15,117.00098024959942,83.81763582394613,32.58500206901011,51.14593941083445,89.4841952376496
2,2023-01-29,130.4386725793431,96.42527160289009,46.3083268612226,54.27157220551239,69.34386283645536
3,2023-02-12,104.49965521003776,92.45760797522676,27.23903398648133,63.14947588557564,70.12367708738239
4,2023-02-26,127.08706197624585,75.38266528184093,34.03126739869177,54.2322368062864,64.71761925431659
5,2023-03-12,99.57290034504098,107.59707937765201,90.35453192104902,102.90187296530232,104.01133642928856
6,2023-03-26,86.69179638594302,93.44543417628041,84.87630475934303,94.72465086532154,106.71864513681946
7,2023-04-09,106.87870534208871,86.41966272137347,85.98255123448338,100.5621710502505,103.38968767519265
8,2023-04-23,100.25790899872484,82.47546610638913,70.20734971262053,100.80098273696868,113.11587183323775
9,2023-05-07,103.56824931571876,120.76197516915477,85.18274286314197,91.09493897225602,116.43822503787449
10,2023-05-21,99.65874851347684,92.81375187847001,60.25189580110286,90.54561316615657,103.20527243980048
11,2023-06-04,86.86360396112534,86.47813027213601,85.79931124807896,98.72649847819211,96.79699164313406
12,2023-06-18,91.14667058321989,75.84036353587624,94.5153875921327,61.515937115472525,104.91091804066457
13,2023-07-02,107.18410660192352,51.07879678058704,87.71416257602257,59.695245183315244,97.38280878662397
14,2023-07-16,98.15135995651866,67.35771708171242,97.31747766852851,67.21392158271381,104.2669023129497
15,2023-07-30,79.73313366164959,68.90147124737962,99.10376472475082,63.84414052439794,82.57295008589688
16,2023-08-13,95.14708736487871,74.37804742863459,107.0325936143752,56.94722647301654,119.30096527225311
17,2023-08-27,91.38722649139416,68.89269635418259,87.2889956033135,55.97009562046278,91.64111659217922
18,2023-09-10,145.64725465878826,94.5181108452535,110.27254788092725,63.29493326225564,89.24311158202902
19,2023-09-24,118.8526685429361,91.21445080266494,104.93783986487178,51.569834740940685,91.39835469012714
20,2023-10-08,126.98178064067064,74.78858094240452,99.35881726908698,45.461321650540555,95.26312570783543
21,2023-10-22,119.72841273127436,102.85795933453689,129.57864206381078,40.713281468330514,100.68545470069687
22,2023-11-05,122.32580822323511,85.80331877134142,113.3780525797113,49.07265776910206,85.33174924691451
23,2023-11-19,144.2374929653958,105.27598402802315,112.83562200416031,48.8482313580315,93.1180359148025
24,2023-12-03,142.22845604574547,100.37108915259998,77.5753615353807,47.97534032855405,79.44470840498164
25,2023-12-17,126.0035079898556,104.0093865101564,51.813851459432215,82.00792033167951,54.68828636771898
26,2023-12-31,120.81365637045495,94.75162970654131,37.69553077175853,52.47653755127173,70.35728134866926
